"iso_2","iso_3","country","year","higher_rate_1","higher_rate_2","higher_rate_3","reduced_rate_1","reduced_rate_2","reduced_rate_3","reduced_rate_4","reduced_rate_5","reduced_rate_6","standard_vat_rate","threshold","vrr","consumption_pct_total_5000","vat_pct_total_5111","sales_pct_total_5112","excise_pct_total_5121","consumption_pct_gdp_5000","vat_pct_gdp_5111","sales_pct_gdp_5112","excise_pct_gdp_5121","beer_excise_hl_usd","beer_low_alc_usd","still_wine_excise_hl_usd","sparkling_wine_excise_hl_usd","low_alc_excise_hl_usd","alc_excise_hl_usd","small_dist_rate","cigarette_excise_1k_usd","cigarette_excise_1k_pct_rsp","cigar_excise_1k_usd","cigar_excise_1k_pct_rsp","roll_tob_excise_1kg_usd","roll_tob_excise_1kg_pct_rsp","cig_pack_ex_tax_price_usd","cig_pack_specific_pct_rsp","cig_pack_ad_val_pct_rsp","cig_pack_sales_pct_rsp","cig_pack_total_tax_pct_rsp","cig_pack_price_usd","unleaded_total_tax_pct_price","unleaded_excise_pct_price","diesel_total_tax_pct_price","diesel_excise_pct_price","household_fuel_total_tax_pct_price","household_fuel_excise_pct_price"
"AT","AUT","Austria",1967,"","","","","","","","","","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AT","AUT","Austria",1968,"","","","","","","","","","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AT","AUT","Austria",1969,"","","","","","","","","","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AT","AUT","Austria",1970,"","","","","","","","","","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AT","AUT","Austria",1971,"","","","","","","","","","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AT","AUT","Austria",1972,"","","","","","","","","","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AT","AUT","Austria",1973,"","","","8","","","","","","16","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AT","AUT","Austria",1974,"","","","8","","","","","","16","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AT","AUT","Austria",1975,"","","","8","","","","","","16","","","34.522","19.841",0,7.906,"12.543","7.209","0","2.872","","","","","","","","","","","","","","","","","","","","","","","","",""
"AT","AUT","Austria",1976,"","","","8","","","","","","18","","0.657800008523806","34.936","21.655",0,7.992,"12.649","7.84","0","2.893","","","","","","","","","","","","","","","","","","","","","","","","",""
"AT","AUT","Austria",1977,"","","","8","","","","","","18","","","33.529","20.835",0,7.956,"12.255","7.615","0","2.908","","","","","","","","","","","","","","","","","","","","","","","","",""
"AT","AUT","Austria",1978,"30","","","8","","","","","","18","","","31.701","19.784",0,7.526,"12.265","7.655","0","2.912","","","","","","","","","","","","","","","","","","","","","","","","",""
"AT","AUT","Austria",1979,"30","","","8","","","","","","18","","","32.073","20.359",0,7.587,"12.218","7.756","0","2.89","","","","","","","","","","","","","","","","","","","","","","","","",""
"AT","AUT","Austria",1980,"30","","","8","","","","","","18","","0.652977596751786","31.517","20.109",0,7.458,"12.157","7.757","0","2.877","","","","","","","","","","","","","","","","","","","","","","","","",""
