"iso_3","iso_2","country","year","5000_consumption_pct_total","5111_vat_pct_total","5112_sales_pct_total","5121_excise_pct_total","5000_consumption_pct_gdp","5111_vat_pct_gdp","5112_sales_pct_gdp","5121_excise_pct_gdp"
"AUS","AU","Australia",1975,29.328,0,6.667,11.818,7.442,0,1.692,2.999
"AUS","AU","Australia",1976,28.704,0,6.721,10.639,7.335,0,1.717,2.719
"AUS","AU","Australia",1977,28.342,0,6.591,11.061,7.205,0,1.676,2.812
"AUS","AU","Australia",1978,31.333,0,6.085,13.93,7.685,0,1.493,3.417
"AUS","AU","Australia",1979,31.819,0,5.517,15.707,8.002,0,1.387,3.95
"AUS","AU","Australia",1980,31.1,0,5.271,15.505,8.152,0,1.382,4.064
"AUS","AU","Australia",1981,30.299,0,6.16,13.738,7.994,0,1.625,3.624
"AUS","AU","Australia",1982,32.137,0,6.87,14.58,8.631,0,1.845,3.916
"AUS","AU","Australia",1983,33.807,0,7.476,15.159,8.827,0,1.952,3.958
"AUS","AU","Australia",1984,33.183,0,7.628,14.497,9.194,0,2.113,4.017
"AUS","AU","Australia",1985,32.845,0,7.929,13.898,9.117,0,2.201,3.858
"AUS","AU","Australia",1986,31.006,0,7.786,12.875,8.848,0,2.222,3.674
"AUS","AU","Australia",1987,30.155,0,8.135,11.964,8.637,0,2.33,3.427
"AUS","AU","Australia",1988,28.496,0,9.04,9.816,8.064,0,2.558,2.778
"AUS","AU","Australia",1989,28.706,0,8.956,9.575,8.042,0,2.509,2.682
"AUS","AU","Australia",1990,27.825,0,8.039,10.279,7.821,0,2.259,2.889
"AUS","AU","Australia",1991,27.765,0,8.089,9.444,7.404,0,2.157,2.518
"AUS","AU","Australia",1992,28.32,0,7.984,9.301,7.401,0,2.087,2.431
"AUS","AU","Australia",1993,29.502,0,8.404,9.644,7.849,0,2.236,2.566
"AUS","AU","Australia",1994,29.469,0,8.544,9.71,8.106,0,2.35,2.671
"AUS","AU","Australia",1995,29.015,0,8.691,9.363,8.207,0,2.458,2.648
"AUS","AU","Australia",1996,27.954,0,8.277,8.918,8.085,0,2.394,2.579
"AUS","AU","Australia",1997,27.543,0,8.355,8.571,7.895,0,2.395,2.457
"AUS","AU","Australia",1998,27.372,0,8.264,7.965,8.056,0,2.432,2.344
"AUS","AU","Australia",1999,26.209,0,7.939,7.582,7.811,0,2.366,2.26
"AUS","AU","Australia",2000,28.813,11.108,0.92,9.205,8.776,3.383,0.28,2.804
"AUS","AU","Australia",2001,30.471,12.553,0.363,9.393,8.814,3.631,0.105,2.717
"AUS","AU","Australia",2002,30.507,13.095,0.375,9.067,9.091,3.902,0.112,2.702
"AUS","AU","Australia",2003,29.88,13.226,0.388,8.487,8.953,3.963,0.116,2.543
"AUS","AU","Australia",2004,28.699,12.77,0.352,8.184,8.688,3.866,0.106,2.477
"AUS","AU","Australia",2005,28.07,13.097,0.324,7.632,8.414,3.926,0.097,2.288
"AUS","AU","Australia",2006,27.551,12.904,0.337,7.381,8.097,3.792,0.099,2.169
"AUS","AU","Australia",2007,27.003,12.77,0.318,7.008,7.971,3.77,0.094,2.069
"AUS","AU","Australia",2008,27.855,12.609,0.322,7.456,7.473,3.383,0.086,2
"AUS","AU","Australia",2009,29.688,14.012,0.375,7.637,7.58,3.578,0.096,1.95
"AUS","AU","Australia",2010,28.986,13.435,0.345,7.456,7.324,3.395,0.087,1.884
"AUS","AU","Australia",2011,27.411,12.584,0.298,6.782,7.096,3.258,0.077,1.756
"AUS","AU","Australia",2012,28.327,12.17,0.278,6.392,7.623,3.275,0.075,1.72
"AUS","AU","Australia",2013,28.637,12.811,0.3,6.109,7.763,3.473,0.081,1.656
"AUS","AU","Australia",2014,26.862,12.744,0.309,5.531,7.326,3.475,0.084,1.508
"AUS","AU","Australia",2015,27.624,13.017,0.324,4.865,7.707,3.632,0.091,1.357
"AUS","AU","Australia",2016,27.086,12.878,0.313,4.675,7.481,3.557,0.086,1.291
"AUS","AU","Australia",2017,26.301,12.152,0.311,4.49,7.495,3.463,0.089,1.28
"AUS","AU","Australia",2018,25.454,11.666,0.301,4.387,7.3,3.346,0.086,1.258
