ISO_2,ISO_3,country,year,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_alt_minimum,corporate_surtax,corporate_other_rev,top_income_rate,threshold_top_income_rate,tax_wedge,personal_surtax,personal_other_rev,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules,property_tax_str,property_taxes_deductible_str,property_tax_collections_str,net_wealth_str,estate_or_inheritance_tax_str,transfer_tax_str,asset_tax_str,capital_duties_str,financial_transaction_tax_str
AT,AUT,Austria,2014,0.25,0,75,0.8134631952,0.3914060129,0.7378887028,1,0,0,0.12,0,2,0,1.051,0.5,14.163515,1.114334832,0,0,0.25,0,0.25,20,34987.893314216,0.586919286,0,0.0913282338,0,0,1,1,1,0,1,1,0,0.25,0,0.2,84,0,0.5,Tax on Real Property,No,0.1%,No,None,Real Estate Transfer Tax,Bank Tax,No,No
AU,AUS,Australia,2014,0.3,0,100,0.8514849715,0.479318672,0.5479539106,0.5,0,0,0.1425,0,0,0,0,0.45,2.32037,1.4165899285,1.5,0,0.2325,0,0.27121,10,48730.6403375008,0.4543546257,1,0.7194026881,0,0,1,0,0,0,1,1,0,0.3,0.1,0.3,44,0.25,0.5,Land Tax Levied by Individual States (a),No,0.8%,No,None,Stamp Duty on Transfer of Real Property,Bank Tax,No,No
BE,BEL,Belgium,2014,0.3399,0,100,0.8758973492,0.6224048788,1.0148652539,1,1,1,0.155,0,3,3,0.017,0.59447155,1.009416,1.1948514515,0,0,0,1,0.25,21,6319.0497600504,0.4776777529,0.5,0.5318606376,0,1,1,1,0,1,0.95,0.987878788,0,0.25,0.25,0.25,91,0,0.5,Tax on Real Property (b),Yes,0.6%,Wealth Tax on Selected Assets,Inheritance and Gift Tax,Real Estate Transfer Tax,Bank Tax,No,Yes
CA,CAN,Canada,2014,0.262,3,20,0.9651162791,0.2421052632,0.5189655172,0.5,0,0,0.245,0,1,0,0.878,0.495296,8.209677,1.2244141007,0,0,0.2475,0,0.338414,15.6,23453.725818895,0.3755071582,0.5,1.5487062167,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,93,0.25,0.5,Tax on Real Property,Yes,1.5%,No,None,Real Estate Transfer Tax,Bank Tax in certain provinces,Yes,No
CH,CHE,Switzerland,2014,0.21148581,0,7,0.86,0.5548387097,0.9052631579,1,0,0,-0.01,0,0,0,3.816,0.41752888,3.325198,1.3573216477,0,0,0,1,0.21135,8,63826.8268100133,0.6964731408,0.5,0.0612195435,1,1,1,1,1,1,1,1,0,0.35,0.35,0,89,0,0.5,Tax on Real Property,Yes,0.1%,Net Wealth Tax,Many cantons levy both Estate and Gift Taxes,Real Estate Transfer Tax,Cantonal/Community Equity Tax,Yes,Yes
CL,CHL,Chile,2014,0.2,100,100,0.6326116598,0.3384747328,0,0.5,0,0,0.315,0,1,0,4.866,0.4,10.408629,1.1623267439,0,0,0.2,0,0.24050633,19,0,0.6456339469,0.5,0.4283273067,0,1,0,1,0,0,0,0,1,0.35,0.35,0.15,25,0,0.5,Tax on Real Property,Yes,0.4%,No,Inheritance and Gift Tax,No,Yearly fee on tax-adjusted equity,No,No
CO,COL,Colombia,2014,0.34,0,100,0.7378887028,0.5479539106,0.8698652539,0.5,0,0,0.31,0,5,9,0.883,0.33,11.453029,0,0,8.989,0.1,NA,0,16,0,0.4624365486,0.5,0.412846043,0,0,1,0,0,1,1,0,0,0.33,0.33,0.33,4,0,0.5,Tax on Real Property,Yes,0.5%,Net Wealth Tax ,None,Real Estate Registration Tax,No,No,Yes
CR,CRI,Costa Rica,2014,0.3,0,3,0.8224566907,0.6023536187,0,1,0,0,-0.02,0,3,0,2.289,0.22937123,2.137969,1.0548917534,0,28.548,0,NA,0.15,13,0,0.4593929911,0.5,0.1507603815,0,0,1,0,1,1,1,1,0,0.15,0.15,0.25,1,0,0,Tax on Real Property,Yes,0.2%,None,None,Real Estate Transfer Tax,No,Yes,Yes
CZ,CZE,Czech Republic,2014,0.19,0,5,0.873879108,0.5432228306,0.8413188479,0.5,0,0,0.175,0,0,0,0,0.15,3e-06,1.1382359684,0,0,0,1,0.15,21,67707.9535587165,0.5654035206,0.5,0.0918800617,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,83,0,0.5,Tax on Real Property,Yes,0.1%,No,Inheritances and gifts are subject to Income Tax,No,No,No,No
DE,DEU,Germany,2014,0.2970721,1,60,0.7378887028,0.3914060129,0.8698652539,1,0,0,-0.02,0,0,5.5,0,0.41975,5.77971,1.1036396752,5.5,0,0.25,0,0.26375,19,21297.5222109729,0.5552587967,0.5,0.1959140109,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,94,0.25,1,Tax on Real Property,Yes,0.2%,No,Inheritance and Gift Tax,Real Estate Transfer Tax,No,No,No
