country,year,corporate_rate_rank,corporate_rate,cost_recovery_rank,cost_recovery,incentives_rank,incentives,consumption_tax_rate_rank,consumption_tax_rate,consumption_tax_base_rank,consumption_tax_base,real_property_tax_rank,real_property_tax,wealth_taxes_rank,wealth_taxes,capital_taxes_rank,capital_taxes,capital_gains_and_dividends_rank,capital_gains_and_dividends,income_tax_rank,income_tax,income_tax_complexity_rank,income_tax_complexity,territorial_rank,territorial,withholding_taxes_rank,withholding_taxes,tax_treaties_rank,tax_treaties,international_regulations_rank,international_regulations,ISO_2,ISO_3
Australia,2024,34,32.70966131,21,45.89130237,18,69.52854122,3,89.83114876,31,46.92411833,2,82.61159673,1,100,14,63.89538002,20,60.63432014,17,60.63009609,1,100,1,100,29,40.47154978,33,44.66060401,15,44.99014967,AU,AUS
Austria,2024,17,55.13977421,10,50.96462443,28,66.1205199,15,49.15574379,16,65.26506226,30,47.24004352,1,100,14,63.89538002,24,53.64769874,36,41.5019743,1,100,1,100,16,58.83285714,12,72.65582786,32,27.70048446,AT,AUT
Belgium,2024,20,48.73117052,5,56.2937147,15,73.42356661,20,45.08820329,26,54.14204433,23,61.76959369,33,49.14485591,24,48.12205823,14,75.81267267,31,48.65422294,1,100,1,100,37,25.5754749,8,76.56213817,32,27.70048446,BE,BEL
Canada,2024,27,45.07826642,19,47.38849977,27,66.28492197,6,80.06905156,19,60.90006777,33,39.62869575,1,100,29,46.61657172,35,33.81768006,20,57.96136654,1,100,32,65.92225563,32,37.97956242,7,77.21318989,6,63.85024223,CA,CAN
Chile,2024,29,42.32256684,38,23.78707395,33,60.04200599,12,53.22328428,3,86.61083831,20,63.59967085,12,70.44182148,5,84.76152343,32,46.15920491,23,56.85412294,1,100,38,27.95582454,36,30.70001546,36,38.80113855,5,72.49507484,CL,CHL
Colombia,2024,38,16.6881521,34,36.54298509,21,69.01513271,12,53.22328428,20,60.05272114,21,63.55697487,36,27.84789034,32,46.0817265,16,72.8048849,8,70.89895967,31,80.54084414,36,46.34617945,21,50.38364994,37,23.17589733,6,63.85024223,CO,COL
Costa Rica,2024,34,32.70966131,35,36.19508911,23,66.78816565,7,77.62852727,11,67.58561463,12,69.91848476,1,100,24,48.12205823,12,78.06299954,5,85.60524688,38,26.86721984,1,100,18,54.02342341,38,17.31643188,4,79.56948009,CR,CRI
Czech Republic,2024,10,61.54837789,24,45.59697876,6,87.19272482,20,45.08820329,34,36.60833695,5,73.74590307,12,70.44182148,1,100,9,83.17403316,3,94.60655123,1,100,16,81.60964509,13,62.78773745,5,77.8642416,15,44.99014967,CZ,CZE
Denmark,2024,13,58.34407605,30,40.05025628,12,81.27372117,35,28.8180413,4,79.70772072,24,58.9334316,12,70.44182148,7,79.1338566,37,25.32594982,24,56.52164577,1,100,16,81.60964509,26,45.42201493,20,64.19215554,32,27.70048446,DK,DNK
Estonia,2024,6,64.75267974,1,100,2,95.90253681,26,41.02066279,9,71.44856742,1,100,1,100,1,100,3,89.32933777,1,100,1,100,16,81.60964509,3,91.23568596,26,55.07743149,10,62.27981488,EE,EST
Finland,2024,6,64.75267974,28,40.97261506,4,91.06375237,32,32.8855818,10,70.25775709,16,67.2035615,12,70.44182148,22,63.36053481,31,46.31501926,29,51.02833844,1,100,16,81.60964509,11,65.27972481,20,64.19215554,32,27.70048446,FI,FIN
France,2024,26,46.0876215,14,50.28903538,38,32.78917554,15,49.15574379,35,34.73013817,27,53.59754863,33,49.14485591,24,48.12205823,33,40.95174233,37,38.90693536,1,100,28,77.28797307,17,56.59965601,2,94.14053454,32,27.70048446,FR,FRA
Germany,2024,33,32.94335746,12,50.87136578,20,69.3795439,12,53.22328428,12,67.35471076,9,71.08067861,12,70.44182148,7,79.1338566,23,55.84507581,9,70.6337981,34,56.80674439,15,97.31730897,12,63.4589884,8,76.56213817,15,44.99014967,DE,DEU
Greece,2024,13,58.34407605,33,36.55388889,11,82.01184171,32,32.8855818,28,50.78356837,28,50.35758758,12,70.44182148,29,46.61657172,5,88.57922881,27,54.20520083,1,100,16,81.60964509,10,67.00140399,31,52.47322462,15,44.99014967,GR,GRC
Hungary,2024,1,100,36,35.89430921,29,66.01414852,38,20.6829603,21,59.55458809,11,70.27463396,12,70.44182148,24,48.12205823,12,78.06299954,2,97.01770527,30,99.6217189,1,100,1,100,17,69.40056928,15,44.99014967,HU,HUN
Iceland,2024,10,61.54837789,23,45.6842515,24,66.60541183,32,32.8855818,17,63.19369222,38,22.61637767,12,70.44182148,14,63.89538002,19,64.39043109,14,63.03771381,32,79.7278922,1,100,19,52.98483098,34,44.00955229,24,44.99014967,IS,ISL
Ireland,2024,2,88.78494355,29,40.45843258,17,69.87594647,29,36.95312229,33,42.07597914,14,69.37927403,12,70.44182148,22,63.36053481,38,23.97575369,33,44.51860087,1,100,35,51.36983866,25,46.08573816,22,62.8900521,15,44.99014967,IE,IRL
Israel,2024,17,55.13977421,16,49.64308511,10,83.73958652,10,61.35836528,6,76.94402872,29,47.46395797,1,100,7,79.1338566,28,50.11777548,38,36.82197967,1,100,1,100,34,36.92412093,28,53.77532806,1,100,IL,ISR
Italy,2024,30,39.72708235,4,59.52721756,30,65.06289648,26,41.02066279,38,25.47853729,35,35.50278746,33,49.14485591,32,46.0817265,22,56.57753484,25,54.76551862,1,100,26,78.92695406,31,38.56625483,4,80.46844847,32,27.70048446,IT,ITA
Japan,2024,32,33.54277979,32,38.89422928,19,69.40714419,3,89.83114876,24,57.38425417,25,56.56823284,12,70.44182148,29,46.61657172,18,67.68161364,26,54.51463049,34,56.80674439,30,75.07399556,23,49.34170658,22,62.8900521,26,36.34531706,JP,JPN
Korea,2024,28,44.24514795,11,50.87544303,26,66.51980453,3,89.83114876,5,77.15479732,34,36.85541229,12,70.44182148,32,46.0817265,21,60.61672136,35,41.67826256,34,56.80674439,34,56.68364065,26,45.42201493,11,75.91108645,26,36.34531706,KR,KOR
Latvia,2024,6,64.75267974,1,100,1,100,20,45.08820329,22,58.81881745,17,66.64522284,1,100,7,79.1338566,3,89.32933777,4,86.89876534,1,100,16,81.60964509,1,100,26,55.07743149,10,62.27981488,LV,LVA
Lithuania,2024,3,80.77418895,3,64.69273461,22,67.45655425,20,45.08820329,29,50.5831939,10,70.29244977,12,70.44182148,1,100,15,73.55499386,7,76.5273094,1,100,16,81.60964509,8,70.89391319,32,51.8221729,10,62.27981488,LT,LTU
Luxembourg,2024,19,48.92342864,13,50.54146799,31,63.65933661,10,61.35836528,2,92.16597427,3,74.81636072,12,70.44182148,14,63.89538002,7,85.27727901,21,57.55367351,34,56.80674439,1,100,4,87.10626466,13,72.00477615,15,44.99014967,LU,LUX
Mexico,2024,34,32.70966131,26,43.07463744,3,92.83825309,9,65.42590577,27,52.88429027,6,73.5109865,1,100,7,79.1338566,11,80.31752767,22,57.13294042,33,66.75825439,36,46.34617945,35,34.66094628,30,53.12427634,24,44.99014967,MX,MEX
Netherlands,2024,25,46.16772905,17,48.47624276,16,70.1178857,20,45.08820329,13,66.72011865,19,64.40802804,12,70.44182148,14,63.89538002,34,40.20016298,30,48.89378498,1,100,1,100,4,87.10626466,5,77.8642416,15,44.99014967,NL,NLD
New Zealand,2024,31,39.118265,37,32.2322509,9,84.28954172,8,69.49344627,1,100,31,45.37111855,1,100,1,100,2,91.29561187,15,61.89981166,1,100,1,100,22,49.89400211,35,40.75429371,3,81.13990744,NZ,NZL
Norway,2024,13,58.34407605,31,39.93129498,8,85.25721104,35,28.8180413,8,74.71873016,8,71.24567968,32,57.40606886,7,79.1338566,36,33.48742597,13,64.47608071,1,100,25,80.70245089,6,78.5104411,15,71.35372443,26,36.34531706,NO,NOR
Poland,2024,4,67.95698158,9,51.05321499,36,54.15444966,29,36.95312229,36,34.40570506,26,54.47620536,12,70.44182148,37,30.84324993,17,70.25010328,11,67.45486962,1,100,33,58.19563097,20,51.24323229,15,71.35372443,13,53.63498228,PL,POL
Portugal,2024,37,27.90320855,6,55.51242289,37,34.93923924,29,36.95312229,14,66.11400246,18,66.59816099,12,70.44182148,14,63.89538002,25,52.67108671,34,41.99857487,1,100,16,81.60964509,32,37.97956242,19,65.49425897,26,36.34531706,PT,PRT
Slovak Republic,2024,10,61.54837789,22,45.71236141,25,66.59336915,15,49.15574379,32,43.60073958,13,69.676172,1,100,5,84.76152343,1,100,6,85.46391862,1,100,16,81.60964509,30,39.11114974,24,60.93689695,13,53.63498228,SK,SVK
Slovenia,2024,13,58.34407605,25,45.45353705,7,86.6695169,26,41.02066279,30,49.17105055,32,42.90876634,12,70.44182148,7,79.1338566,10,81.0707873,32,48.08330709,1,100,31,67.80529735,13,62.78773745,28,53.77532806,6,63.85024223,SI,SVN
Spain,2024,20,48.73117052,27,42.31718565,34,55.36414577,20,45.08820329,15,65.42912836,22,62.80531064,36,27.84789034,32,46.0817265,25,52.67108671,28,52.84802205,1,100,26,78.92695406,24,48.48231042,8,76.56213817,15,44.99014967,ES,ESP
Sweden,2024,9,62.83009863,18,47.41588596,5,90.82181315,35,28.8180413,7,75.99115842,15,67.98901103,1,100,14,63.89538002,29,48.76463858,16,60.99400319,29,99.81203423,1,100,7,74.21252932,18,68.74951756,32,27.70048446,SE,SWE
Switzerland,2024,5,66.00832386,8,51.17339011,32,63.16831945,2,97.5594757,23,58.20516574,4,74.04420805,36,27.84789034,37,30.84324993,8,84.06265453,12,65.59324598,1,100,1,100,28,43.84648652,3,85.67686221,2,98.42957265,CH,CHE
Turkey,2024,20,48.73117052,15,49.94196709,14,75.17215481,15,49.15574379,18,61.95817372,7,72.51673784,12,70.44182148,32,46.0817265,6,86.32890194,10,67.80949916,1,100,1,100,15,62.12959915,13,72.00477615,6,63.85024223,TR,TUR
United Kingdom,2024,20,48.73117052,20,46.6929303,35,54.89577091,15,49.15574379,37,31.08385884,37,31.97761973,12,70.44182148,24,48.12205823,30,47.94797557,18,60.17055115,1,100,1,100,9,67.57529705,1,100,26,36.34531706,GB,GBR
United States,2024,24,46.70805445,7,52.30981348,13,79.67448496,1,100,25,54.42648946,36,35.04782104,12,70.44182148,14,63.89538002,27,51.12272542,19,59.13171348,1,100,29,76.58598588,37,25.5754749,25,57.68163836,31,27.70048446,US,USA
